,Currently Insured,Number of Vehicles,Number of Drivers,Marital Status,rank,click_rate_Josh,purchase_rate_Josh,click_rate_Angkun,purchase_rate_Angkun,click_rate_actual,purchase_rate_actual,click_rate_yushan_logreg,click_rate_yushan_knn,purchase_rate_yushan_logreg,purchase_rate_yushan_knn,click_rate_fangdi_log,click_rate_fangdi_rf,click_rate_fangdi_svm,click_rate_fangdi_knn,click_rate_fangdi_voting,purchase_rate_fangdi_log,purchase_rate_fangdi_rf,purchase_rate_fangdi_svm,purchase_rate_fangdi_knn,purchase_rate_fangdi_voting,ave_Click_pred,ave_Purchase_pred
42,Y,3,1,S,3,0.07918099099999999,0.030182905,0.1532483,0.03972306,0.145454545,0.036363636,0.170282613,0.1,0.043174762,0.0,0.16303181809182565,0.12328356251895803,0.129271508511787,0.2,0.15453312484433135,0.1143485433497696,0.09002483589005071,0.07744211007458655,0.12,0.10025835687369052,0.13394474615269591,0.06943276155995508
43,Y,3,1,S,4,0.145324064,0.019169885,0.09571003,0.024765039,0.130434783,0.010869565,0.077011025,0.1,0.022037337999999997,0.0,0.07338217074317194,0.09001839783402184,0.13167279712393917,0.2,0.12192627547698613,0.051957345763775475,0.07015000424445658,0.07888109811575898,0.16000000000000003,0.087006450558393,0.09643391439429844,0.04082864325205801
44,Y,3,1,S,5,0.039460771,0.025371094,0.051664386,0.016052155,0.033333333,0.016666667,0.03280841,0.0,0.011127983000000001,0.0,0.031192756734931045,0.06365053634562093,0.11965865321756518,0.0,0.0518394440735106,0.02229033594526,0.04883068602846079,0.07168801904838795,0.0,0.03410030653629944,0.04177811852013799,0.0269050247434302
45,Y,3,1,M,1,0.277530924,0.095095714,0.39243054,0.094931975,-7.0,-7.0,0.502482462,0.8,0.135091052,0.1,0.50426134257002,0.4392245571786529,0.3469080165799292,0.6,0.4703119043275601,0.3389232000412129,0.30672330921138174,0.21055159239231164,0.48,0.3248738963411179,0.4308748214371682,0.21895831881314864
46,Y,3,1,M,2,0.25352471600000004,0.087543983,0.23839961,0.060494274,-7.0,-7.0,0.29108648800000003,0.1,0.072356388,0.1,0.2925619219755112,0.23331660334750992,0.1330898016143525,0.2,0.21379059377865228,0.19868512131103305,0.16464959899258158,0.08056362406747496,0.12,0.1383583668381168,0.26762243233075533,0.13080877282590364
47,Y,3,1,M,3,0.23226529899999998,0.058452905,0.1532483,0.03972306,0.17857142899999998,0.035714286,0.143053583,0.1,0.037492082,0.0,0.14393391516908507,0.12129127617171406,0.13162576859618777,0.0,0.09912688624090692,0.09874519190731024,0.09044821659387604,0.07891711129118405,0.0,0.06978643754414231,0.16013601833519978,0.07128459887529658
48,Y,3,1,M,4,0.062620118,0.022219167,0.09571003,0.024765039,0.056179775,0.011235955,0.063554165,0.0,0.019081292,0.0,0.06398320178083912,0.08024000154830109,0.13166046402100212,0.2,0.11768957907245615,0.04433314427451803,0.062116675513314124,0.07887897850507046,0.16000000000000003,0.08365428669450486,0.06759937158228504,0.036937569696958036
49,Y,3,1,M,5,0.044437284,0.010587798999999998,0.0636067,0.01569698,0.040268456,0.006711409000000001,0.02685079,0.0,0.009620901,0.0,0.02703982453810354,0.06115395428527173,0.13161583435701366,0.0,0.05331972959009104,0.018918286690658266,0.04672273646820537,0.07884827408212321,0.0,0.0403478026257226,0.03987046320584382,0.02146243078971591
50,Y,3,2,S,1,0.236242765,0.122873127,0.38794935,0.04685677,-7.0,-7.0,0.538382245,0.5,0.126002812,0.2,0.5294093586722912,0.43517468268763776,0.4443188120803444,0.2,0.39851531689495184,0.39649697611329127,0.2908051664836779,0.256581556580633,0.12,0.2579767799564233,0.4348022628399822,0.23404452039924228
51,Y,3,2,S,2,0.23657482100000002,0.062859563,0.23499697,0.029439416,-7.0,-7.0,0.32164737600000004,0.2,0.067160894,0.1,0.3138359880940082,0.22612482035339154,0.1368038388415131,0.2,0.21560395320915499,0.2369157425730309,0.1609462480489606,0.08045557272713709,0.08000000000000002,0.13140886716066202,0.27454575136185,0.1319706119054979
